amount,date,type,gas_cost,time_of_transaction
0.0111553,2022-12-26,bonus,0.0061457,2.5
0.0110774,2022-08-26,regular,0.0053675,2.57
0.0314816,2022-08-20,overtime,0.0002183,3.44
0.0358189,2022-02-01,bonus,0.0009482,1.99
0.0104698,2022-08-21,overtime,0.0022815,2.19
0.0103573,2022-09-02,regular,0.0032939,3.85
0.011627,2022-04-13,overtime,0.0029914,2.52
0.0122948,2022-07-19,regular,0.0059987,3.44
0.019353,2022-07-22,bonus,0.005906,2.84
0.0356914,2022-11-25,bonus,0.0023316,1.82
0.0288166,2022-10-02,overtime,0.0014778,1.51
